source	row	p_num	q_num	w01_num	w10_num	w11_num	denominator	sign	cleared_deficit
candidates-650653.tsv	4	999995873	32870	999999989	999972206	999999989	1000000000	1	58471051571716817919710415462838198552260487148417591085127313135486310527589037838294077059700824722237601577844817284333563271293709232213982943699545965202935291368893046481086349017847137660489063554922619383010135228388203200332832175944211588920673413204894178483349291234674889489579109930354534947536877147696900345395538447074127407510489490456949334469923864576000000000000000
candidates-650653.tsv	5	999917452	87060	999999983	999877362	999999986	1000000000	1	134713380469359250743575085609482579272672705913764819568588336782518145595823627478393836914905865271650745381149454476366345317023545113428466919353333455720144428208020554171966238231924952852924547314679835774031198626852230988226518321432561367010078238109559368122812905721939363332505713457603066731679688326241879926180667541703628035607529433495691837451987320832000000000000000
candidates-650653.tsv	6	999924942	38111	999999992	999953417	999999998	1000000000	1	31682554389227429727310171129167184561551851532332820952846992799170002519088850802940379129756829450290444320267261285768088406306380701154160515207230532997627743057926646798956015989728169005140198194843374597946051365250658440329372580115543202389226153696505764936421420824132074299029108227196001096013881024744885418945346238189362853359094627285831831960235647058224882085101568
candidates-650653.tsv	7	999894679	7508	999999996	999772948	999999996	1000000000	1	49248634564563384963030627874953676250143570484822440502582888253409700778823591469549146833541220403558099719996324524286206083045387173183506901899141326859336474602291573058236520174976831502389578403393688937358355860570469992940534848633517315541215622488921828056657329990894138767323266475205629644325587479650584755150569515184286040406852730464771445823567879999088650434379776
candidates-650653.tsv	8	999987985	8052	999999982	999129177	999999999	1000000000	1	24839794951205133125657607065267163419358404831185389144633310064246272348875290425965693971189169567057976076465705280800977321504174142788808596556694271912143688249123089474818753926262482627335803865830126913184801070203064641667496013639761890742105382487885453340428128379375336800684266538223696747813523007098702113198100987355923705415263760416768000000000000000000000000000000
candidates-650653.tsv	9	999991940	10026	999999988	999893882	999999981	1000000000	1	26540628853812823860845143909967875270417231922113445720642251351618098546256852954009967904794237910922766532663763030894778023972677669297572449462891570280646317337313854569451469163535210011293999277310488106165370060560112718862218024014108128969303388007274578362431946868114559763401967276807945592257908655692844958287872867020905562282165692724294655055522430976000000000000000
candidates-650653.tsv	10	999955970	61075	999999990	999857012	999999997	1000000000	1	14552035351351983592812664701985408124523391074909388492371397062224015070281907389618809895856236430866928994801274794365210181266848742771871754011448927458619731248613095428915290604017188813250010078768928914909938953273402026353208540765133659190048167369236140811576285924393256556251516707906279501648747021089316322075406722805227872186151216737926006317138671875000000000000000
candidates-650653.tsv	11	999945869	10021	999999984	999787447	999999983	1000000000	1	10990430203244884161550602438179164844005276455173365409714508758827430281166886162896815275947451683568460332174823564205163729635113040826355591196705976157924408058825037757156652896857686519671562432049933770363031627938817770256678583969182544835406730264780772977801786549139163486559259325838496915965766296493621426246531914565777668280436482934073979142089763939048483893280768
candidates-650653.tsv	12	999927085	6415	999999983	999536216	999999993	1000000000	1	81183502481334785773376877509871308500043871310512383720958211780550712273213633247745416495737120848308724041986655014758962900671458582212870410042811852032665497840637635585264179229391837959744720410404199081262714177739508275067268464974747551358755322570516869558956554612422732152267519043796677160948033315249142800880189083314309182310003700392494261383056640625000000000000000
candidates-650653.tsv	13	999897860	64526	999999978	999909383	999999986	1000000000	1	164270357297771709659331808099980678459335237609357076614941502728553471744607893881553613989099950152541074642272458456119143578589069105352689939495791743912525532757125223416311953947902027826819374730906548795225413023156096114939408388940559825845022453210899321192681671798743013438868150936408912120920405186552670784294605255126953125000000000000000000000000000000000000000000000
