original_clause	status	remaining_clauses	seconds
513	RETAIN_CAP	2329	0.007516
514	RETAIN_CAP	2329	0.007606
515	RETAIN_CAP	2329	0.007846
516	RETAIN_CAP	2329	0.007613
517	RETAIN_CAP	2329	0.007624
518	RETAIN_CAP	2329	0.007618
519	RETAIN_CAP	2329	0.007542
520	RETAIN_CAP	2329	0.007578
521	RETAIN_CAP	2329	0.007575
522	RETAIN_CAP	2329	0.008104
523	RETAIN_CAP	2329	0.008158
524	RETAIN_CAP	2329	0.007872
525	RETAIN_CAP	2329	0.007503
526	RETAIN_CAP	2329	0.007768
527	RETAIN_CAP	2329	0.007621
528	RETAIN_CAP	2329	0.008119
529	RETAIN_CAP	2329	0.007658
530	RETAIN_CAP	2329	0.008454
531	RETAIN_CAP	2329	0.007680
532	RETAIN_CAP	2329	0.007555
533	RETAIN_CAP	2329	0.007538
534	RETAIN_CAP	2329	0.007601
535	RETAIN_CAP	2329	0.007788
536	RETAIN_CAP	2329	0.007729
537	RETAIN_CAP	2329	0.008281
538	RETAIN_CAP	2329	0.007535
539	RETAIN_CAP	2329	0.008475
540	RETAIN_CAP	2329	0.007722
541	RETAIN_CAP	2329	0.007633
542	RETAIN_CAP	2329	0.009402
543	RETAIN_CAP	2329	0.008077
544	RETAIN_CAP	2329	0.008086
545	RETAIN_CAP	2329	0.008562
546	RETAIN_CAP	2329	0.007670
547	RETAIN_CAP	2329	0.007979
548	RETAIN_CAP	2329	0.007584
549	RETAIN_CAP	2329	0.007387
550	RETAIN_CAP	2329	0.007848
551	RETAIN_CAP	2329	0.009216
552	RETAIN_CAP	2329	0.008052
553	RETAIN_CAP	2329	0.007482
554	RETAIN_CAP	2329	0.007488
555	RETAIN_CAP	2329	0.007531
556	RETAIN_CAP	2329	0.007562
557	RETAIN_CAP	2329	0.007674
558	RETAIN_CAP	2329	0.007907
559	RETAIN_CAP	2329	0.007552
560	RETAIN_CAP	2329	0.007589
561	RETAIN_CAP	2329	0.007514
562	RETAIN_CAP	2329	0.007739
563	RETAIN_CAP	2329	0.007619
564	RETAIN_CAP	2329	0.007628
565	RETAIN_CAP	2329	0.007984
566	RETAIN_CAP	2329	0.007803
567	RETAIN_CAP	2329	0.007805
568	RETAIN_CAP	2329	0.007814
569	RETAIN_CAP	2329	0.009651
570	RETAIN_CAP	2329	0.007972
571	RETAIN_CAP	2329	0.008510
572	RETAIN_CAP	2329	0.008938
573	RETAIN_CAP	2329	0.008943
574	RETAIN_CAP	2329	0.007881
